date, pm25, pm10, o3, no2, so2, co
2015/9/6, 30, , , 8, , 
2015/9/7, 37, , , 6, , 
2015/9/8, 38, , , 8, , 
2015/9/9, 36, , , 13, , 
2015/9/10, 44, , , 18, , 
2015/9/11, 41, , , 17, , 
2015/9/12, 43, , , 12, , 
2015/9/13, 37, , , 8, , 
2015/9/14, 27, , , 7, , 
2015/9/15, 24, , , 9, , 
2015/9/16, 25, , , 10, , 
2015/9/17, 36, , , 16, , 
2015/9/18, 31, , , 6, , 
2015/9/19, 32, , , 9, , 
2015/9/20, 33, , , 14, , 
2015/9/21, 47, , , 7, , 
2015/9/22, 21, , , 10, , 
2015/9/23, 34, , , 18, , 
2015/9/24, 45, , , 11, , 
2015/9/25, 44, , , 6, , 
2015/9/26, 70, , , 5, , 
2015/9/27, 38, , , 7, , 
2015/9/28, 29, , , 8, , 
2015/9/29, 46, , , 9, , 
2015/9/30, 50, , , 7, , 
2015/4/1, 35, , , 9, , 
2015/4/2, 30, , , 21, , 
2015/4/3, 56, , , 7, , 
2015/4/4, 56, , , 5, , 
2015/4/5, 53, , , 7, , 
2015/4/6, 74, , , 17, , 
2015/4/7, 76, , , 19, , 
2015/4/8, 101, , , 23, , 
2015/4/9, 88, , , 21, , 
2015/4/10, 60, , , 7, , 
2015/4/11, 43, , , 13, , 
2015/4/12, 50, , , 15, , 
2015/4/13, 44, , , 24, , 
2015/4/14, 47, , , 22, , 
2015/4/15, 46, , , 25, , 
2015/4/16, 57, , , 13, , 
2015/4/17, 69, , , 6, , 
2015/4/18, 43, , , 6, , 
2015/4/19, 53, , , 10, , 
2015/4/20, 57, , , 10, , 
2015/4/21, 76, , , 9, , 
2015/4/22, 65, , , 12, , 
2015/4/23, 72, , , 19, , 
2015/4/24, 73, , , 9, , 
2015/4/25, 46, , , 9, , 
2015/4/26, 39, , , 6, , 
2015/4/27, 52, , , 10, , 
2015/4/28, 44, , , 13, , 
2015/4/29, 38, , , 15, , 
2015/4/30, 26, , , 6, , 
2015/5/1, 32, , , 10, , 
2015/5/2, 44, , , 7, , 
2015/5/3, 21, , , 11, , 
2015/5/4, 31, , , 7, , 
2015/5/5, 38, , , 6, , 
2015/5/6, 23, , , 11, , 
2015/5/7, 38, , , 12, , 
2015/5/8, 47, , , 3, , 
2015/5/9, 32, , , 9, , 
2015/5/10, 44, , , 17, , 
2015/5/11, 42, , , 6, , 
2015/5/12, 36, , , 11, , 
2015/5/13, 37, , , 8, , 
2015/5/14, 47, , , 7, , 
2015/5/15, 49, , , 7, , 
2015/5/16, 48, , , 7, , 
2015/5/17, 48, , , 9, , 
2015/5/18, 35, , , 6, , 
2015/5/19, 24, , , 5, , 
2015/5/20, 24, , , 8, , 
2015/5/21, 38, , , 8, , 
2015/5/22, 48, , , 3, , 
2015/5/23, 34, , , 4, , 
2015/5/24, 49, , , 3, , 
2015/5/25, 30, , , 5, , 
2015/5/26, 43, , , 11, , 
2015/5/27, 53, , , 9, , 
2015/5/28, 39, , , 5, , 
2015/5/29, 36, , , 6, , 
2015/5/30, 25, , , 7, , 
2015/5/31, 32, , , 6, , 
2015/6/1, 36, , , 5, , 
2015/6/2, 31, , , 4, , 
2015/6/3, 40, , , 9, , 
2015/6/4, 42, , , 12, , 
2015/6/5, 51, , , 3, , 
2015/6/6, 27, , , 3, , 
2015/6/7, 35, , , 4, , 
2015/6/8, 34, , , 4, , 
2015/6/9, 39, , , 7, , 
2015/6/10, 43, , , 8, , 
2015/6/11, 51, , , 9, , 
2015/6/12, 42, , , 3, , 
2015/6/13, 40, , , 3, , 
2015/6/14, 32, , , 4, , 
2015/6/15, 63, , , 6, , 
2015/6/16, 39, , , 6, , 
2015/6/17, 42, , , 4, , 
2015/6/18, 28, , , 7, , 
2015/6/19, 48, , , 6, , 
2015/6/20, 45, , , 3, , 
2015/6/21, 33, , , 6, , 
2015/6/22, 41, , , 6, , 
2015/6/23, 31, , , 14, , 
2015/6/24, 46, , , 15, , 
