date, pm25, pm10, o3, no2, so2, co
2018/11/5, 25, 33, , , , 
2018/11/6, 42, 19, , , , 
2018/11/7, 23, 15, , , , 
2018/11/8, 23, , , , , 
2018/11/10, 30, 23, , , , 
2018/11/11, 38, 20, , , , 
2018/11/12, 28, 26, , , , 
2018/11/13, 38, 28, , , , 
2018/11/14, 38, 23, , , , 
2018/11/15, 27, 23, , , , 
2018/11/16, 25, 14, , , , 
2018/11/17, 19, 22, , , , 
2018/11/18, 36, 23, , , , 
2018/11/19, 34, 12, , , , 
2018/11/20, 17, 10, , , , 
2018/11/21, 17, 12, , , , 
2018/11/22, 21, 27, , , , 
2018/11/23, 49, 29, , , , 
2018/11/24, 49, 20, , , , 
2018/11/25, 34, 16, , , , 
2018/11/26, 25, 14, , , , 
2018/11/27, 21, 14, , , , 
2018/11/28, 25, 19, , , , 
2018/11/29, 36, , , , , 
2018/12/2, 19, 9, , , , 
2018/12/3, 21, 19, , , , 
2018/12/4, 44, 16, , , , 
2018/12/5, 21, 13, , , , 
2018/12/6, 23, 9, , , , 
2018/12/7, 19, 15, , , , 
2018/12/8, 34, 21, , , , 
2018/12/9, 54, 11, , , , 
2018/12/10, 25, 20, , , , 
2018/12/11, 34, 22, , , , 
2018/12/12, 42, 16, , , , 
2018/12/13, 32, 12, , , , 
2018/12/14, 23, 14, , , , 
2018/12/15, 25, 11, , , , 
2018/12/16, 27, 14, , , , 
2018/12/17, 30, 23, , , , 
2018/12/18, 46, 16, , , , 
2018/12/19, 36, 10, , , , 
2018/12/20, 23, 15, , , , 
2018/12/21, 33, , , , , 
2018/12/23, 48, 11, , , , 
2018/12/24, 17, 16, , , , 
2018/12/25, 34, 12, , , , 
2018/12/26, 23, 8, , , , 
2018/12/27, 13, 10, , , , 
2018/12/28, 19, 16, , , , 
2018/12/29, 27, , , , , 
2018/7/1, 21, 20, , , , 
2018/7/2, 13, 18, , , , 
2018/7/3, 9, 19, , , , 
2018/7/4, 13, 24, , , , 
2018/7/5, 21, 20, , , , 
2018/7/6, 17, 17, , , , 
2018/7/7, 13, 14, , , , 
2018/7/8, 13, 11, , , , 
2018/7/9, 9, 17, , , , 
2018/7/10, 13, 16, , , , 
2018/7/11, 13, 14, , , , 
2018/7/12, 13, 21, , , , 
2018/7/13, 17, 20, , , , 
